ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,TZG23jocNd_HXtwgK8GYTF4iLqc,Dr Madsen Duncan Pirie,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,07/07/1992,04/02/2013,02722984,Arundel Group Limited,15/06/1992,,64209,Financial and insurance activities,Activities of other holding companies n.e.c.
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,16/07/1997,03/01/2013,01968010,Godalming Museum Trust,03/12/1985,,91020,"Arts, entertainment and recreation",Museums activities
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,02/06/2003,15/07/2009,04013026,Hop Skip & Jump Foundation,12/06/2000,03/06/2022,88100,Human health and social work activities,Social work activities without accommodation for the elderly and disabled
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,02/06/2003,15/07/2009,04013026,Hop Skip & Jump Foundation,12/06/2000,03/06/2022,88910,Human health and social work activities,Child day-care activities
Right,Adam Smith Institute,01/01/1977,oruuAY6TZ-0LiJS3bbUUQHs8tP8,Paul Edward Michael Reynolds,Director,17/07/1993,27/11/2002,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,TZG23jocNd_HXtwgK8GYTF4iLqc,Dr Madsen Duncan Pirie,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,rSR_ux9y5A8EwhjC-8KInE-2Vaw,Keir James Prince,Secretary,22/08/2002,06/01/2014,04517118,Trinorth Limited,22/08/2002,,58190,Information and communication,Other publishing activities
Right,Adam Smith Institute,01/01/1977,rSR_ux9y5A8EwhjC-8KInE-2Vaw,Keir James Prince,Director,22/08/2002,06/01/2014,04517118,Trinorth Limited,22/08/2002,,58190,Information and communication,Other publishing activities
Right,Adam Smith Institute,01/01/1977,rSR_ux9y5A8EwhjC-8KInE-2Vaw,Keir James Prince,Director,12/01/2004,06/01/2014,04963187,All Out Cricket Limited,13/11/2003,10/12/2019,58142,Information and communication,Publishing of consumer and business journals and periodicals
Right,Adam Smith Institute,01/01/1977,oruuAY6TZ-0LiJS3bbUUQHs8tP8,Paul Edward Michael Reynolds,Director,17/07/1993,27/11/2002,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,19/12/2001,,04342628,Sleeconsult Limited,19/12/2001,28/02/2023,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,01/02/2004,02/02/2008,03771045,Shelburne Drive Residents Company Limited,11/05/1999,,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,27/01/2000,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,19/12/2001,,04342628,Sleeconsult Limited,19/12/2001,28/02/2023,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,01/02/2004,02/02/2008,03771045,Shelburne Drive Residents Company Limited,11/05/1999,,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,27/01/2000,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,31/01/1999,,02249209,The Cambridge Management Centre Limited,28/04/1988,19/04/2016,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,02/07/1998,,01648021,Cambridge Management Centres Plc,02/07/1982,19/04/2016,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,22/06/1998,,03571233,Webtrain Limited,28/05/1998,19/04/2016,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,01/02/1995,,03000182,People Events Limited,09/12/1994,19/04/2016,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,06/06/1994,,02935699,"Attitudes, Skills & Knowledge Ltd.",31/05/1994,18/10/2016,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,28/11/1994,10/04/2017,02989543,Ask Europe Limited,11/11/1994,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,27/01/2000,04/09/2008,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,01/02/1993,20/01/2020,00397914,St Georges School (Harpenden) Limited,18/08/1945,,85310,Education,General secondary education
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,04/03/2002,07/09/2010,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
