ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,15/04/2016,12/05/2022,09713589,Lcs Health and Social Care Policy Research Limited,03/08/2015,16/08/2022,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,15/04/2016,12/05/2022,09713589,Lcs Health and Social Care Policy Research Limited,03/08/2015,16/08/2022,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,12/01/2018,,10794167,Iqarus Jv Limited,30/05/2017,18/10/2022,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,30/06/2017,,SC350802,Abermed Medics Limited,04/11/2008,02/11/2021,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,17/05/2017,,10717077,Iqarus Ebt Trustees Limited,08/04/2017,25/09/2018,99999,Activities of extraterritorial organisations and bodies,Dormant Company
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,19/04/2017,,10730325,Iq Management Services Limited,19/04/2017,11/09/2018,81100,Administrative and support service activities,Combined facilities support activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,31/08/2016,,SC197271,R S Occupational Health Ltd.,16/06/1999,09/11/2021,86900,Human health and social work activities,Other human health activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,05/02/2016,,SC228305,Iqarus Environmental Sciences Limited,20/02/2002,11/01/2022,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,10/07/2015,,09634871,Iqarus Holdings Limited,11/06/2015,09/11/2021,86220,Human health and social work activities,Specialists medical practice activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,10/07/2015,,09635021,Iqarus Uk Limited,11/06/2015,09/11/2021,86220,Human health and social work activities,Specialists medical practice activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,28/10/2016,01/01/2023,10451015,Iqarus Medical Services Limited,28/10/2016,,86210,Human health and social work activities,General medical practice activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,16/04/2016,01/01/2023,05080465,Iqarus International Limited,22/03/2004,,47749,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c.
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,16/04/2016,01/01/2023,05080465,Iqarus International Limited,22/03/2004,,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,16/04/2016,01/01/2023,05080465,Iqarus International Limited,22/03/2004,,86220,Human health and social work activities,Specialists medical practice activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,16/04/2016,01/01/2023,05080465,Iqarus International Limited,22/03/2004,,86900,Human health and social work activities,Other human health activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,10/07/2015,25/01/2017,09635180,International Sos (Medical Services) Uk Limited,11/06/2015,,86220,Human health and social work activities,Specialists medical practice activities
Right,Adam Smith Institute,01/01/1977,xAUQbuSIEPqfwBYDGu6I584cRiQ,Rebecca Margaret Jefferies,Secretary,31/03/2017,30/10/2020,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,16/12/2011,,01764377,Trireme Trust(the),25/10/1983,24/04/2018,85520,Education,Cultural education
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,09/03/2012,02/05/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,23/12/2005,02/05/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/02/2016,03/05/2017,10010584,Centre for Development Results,17/02/2016,22/09/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,01/07/2015,31/03/2017,09666443,Bdbco No. 516 Limited,01/07/2015,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,07/12/2005,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,23/12/2005,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,06/03/2012,31/03/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/02/2016,03/05/2017,10010584,Centre for Development Results,17/02/2016,22/09/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,01/07/2015,31/03/2017,09666443,Bdbco No. 516 Limited,01/07/2015,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,07/12/2005,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,23/12/2005,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,06/03/2012,31/03/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,MKbfEiz3weecie1eQ3Ra3loJ82Q,Luqman Ahmad,Director,06/11/2018,30/10/2020,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,25a5g-v8cMD6Hpts6xG9uFayc6Y,Dr Layth Bunni,Director,06/09/2010,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,25a5g-v8cMD6Hpts6xG9uFayc6Y,Dr Layth Bunni,Director,06/09/2010,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,25a5g-v8cMD6Hpts6xG9uFayc6Y,Dr Layth Bunni,Director,06/09/2010,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,15/04/2016,12/05/2022,09713589,Lcs Health and Social Care Policy Research Limited,03/08/2015,16/08/2022,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/05/2016,,00741827,"The Bath, Wilts and North Dorset Gliding Club Limited",23/11/1962,,93199,"Arts, entertainment and recreation",Other sports activities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,24/07/2015,,06706693,International Inspiration,24/09/2008,04/07/2017,85510,Education,Sports and recreation education
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,24/07/2015,,06706693,International Inspiration,24/09/2008,04/07/2017,93199,"Arts, entertainment and recreation",Other sports activities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,24/07/2015,,06706693,International Inspiration,24/09/2008,04/07/2017,99000,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,17/06/2015,,03926110,Uk-China Forum,15/02/2000,,63990,Information and communication,Other information service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,07/05/2015,,09579645,Davidson Advisory Services Ltd,07/05/2015,29/06/2021,70210,"Professional, scientific and technical activities",Public relations and communications activities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,07/05/2015,,09579645,Davidson Advisory Services Ltd,07/05/2015,29/06/2021,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,28/06/2007,,01196043,Great Britain-China Centre(the),10/01/1975,,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,07/03/2016,04/03/2022,05768612,Dorset Community Foundation,04/04/2006,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,24/09/2016,04/08/2021,01278887,United Purpose,27/09/1976,,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,86900,Human health and social work activities,Other human health activities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,87100,Human health and social work activities,Residential nursing care facilities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,87200,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse"
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,87300,Human health and social work activities,Residential care activities for the elderly and disabled
