ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,07/12/2005,28/02/2006,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,TZG23jocNd_HXtwgK8GYTF4iLqc,Dr Madsen Duncan Pirie,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,TZG23jocNd_HXtwgK8GYTF4iLqc,Dr Madsen Duncan Pirie,Director,07/12/2005,28/02/2006,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,17/07/1992,28/02/2006,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,rtoGZwgq5VmzR0_xwEy5zeGYTvU,Eamonn Butler,Director,07/12/2005,28/02/2006,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,07/07/1992,04/02/2013,02722984,Arundel Group Limited,15/06/1992,,64209,Financial and insurance activities,Activities of other holding companies n.e.c.
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,16/07/1997,03/01/2013,01968010,Godalming Museum Trust,03/12/1985,,91020,"Arts, entertainment and recreation",Museums activities
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,02/06/2003,15/07/2009,04013026,Hop Skip & Jump Foundation,12/06/2000,03/06/2022,88100,Human health and social work activities,Social work activities without accommodation for the elderly and disabled
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,02/06/2003,15/07/2009,04013026,Hop Skip & Jump Foundation,12/06/2000,03/06/2022,88910,Human health and social work activities,Child day-care activities
Right,Adam Smith Institute,01/01/1977,w_VyPU6q8q45cQpP7o2bbDxI8Vo,Thomas William Clougherty,Director,09/06/2009,01/05/2012,01553005,A.S.I. (Research) Limited,26/03/1981,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
